game,player_type,player,move_id,move,winner
2023-11-29 07:09:08.307073,Human,X,1,"(1, 1)",
2023-11-29 07:09:08.307073,Bot,O,2,"(2, 1)",
2023-11-29 07:09:08.307073,Human,X,3,"(0, 1)",
2023-11-29 07:09:08.307073,Bot,O,4,"(1, 0)",
2023-11-29 07:09:08.307073,Human,X,5,"(0, 2)",
2023-11-29 07:09:08.307073,Bot,O,6,"(2, 2)",
2023-11-29 07:09:08.307073,Human,X,7,"(0, 0)",X
2023-11-29 07:09:58.996558,Human,X,1,"(0, 0)",
2023-11-29 07:09:58.996558,Bot,O,2,"(2, 0)",
2023-11-29 07:09:58.996558,Human,X,3,"(1, 0)",
2023-11-29 07:09:58.996558,Bot,O,4,"(2, 2)",
2023-11-29 07:09:58.996558,Human,X,5,"(0, 2)",
2023-11-29 07:09:58.996558,Bot,O,6,"(2, 1)",O
2023-11-29 07:10:35.028655,Human,X,1,"(0, 0)",
2023-11-29 07:10:35.028655,Bot,O,2,"(0, 1)",
2023-11-29 07:10:35.028655,Human,X,3,"(1, 1)",
2023-11-29 07:10:35.028655,Bot,O,4,"(1, 0)",
2023-11-29 07:10:35.028655,Human,X,5,"(2, 2)",X
2023-11-29 07:10:53.527354,Human,X,1,"(0, 0)",
2023-11-29 07:10:53.527354,Bot,O,2,"(2, 0)",
2023-11-29 07:10:53.527354,Human,X,3,"(1, 1)",
2023-11-29 07:10:53.527354,Bot,O,4,"(2, 2)",
2023-11-29 07:10:53.527354,Human,X,5,"(1, 0)",
2023-11-29 07:10:53.527354,Bot,O,6,"(1, 2)",
2023-11-29 07:10:53.527354,Human,X,7,"(0, 1)",
2023-11-29 07:10:53.527354,Bot,O,8,"(2, 1)",O
2023-11-29 07:11:33.385514,Human,X,1,"(1, 1)",
2023-11-29 07:11:33.385514,Bot,O,2,"(0, 1)",
2023-11-29 07:11:33.385514,Human,X,3,"(2, 2)",
2023-11-29 07:11:33.385514,Bot,O,4,"(0, 2)",
2023-11-29 07:11:33.385514,Human,X,5,"(0, 0)",X
2023-11-29 07:11:55.661684,Human,X,1,"(0, 0)",
2023-11-29 07:11:55.661684,Bot,O,2,"(2, 2)",
2023-11-29 07:11:55.661684,Human,X,3,"(2, 0)",
